pos	btd	eve	slp
75.913	940.910	3992.430	594.700
76.360	893.260	3893.980	600.080
76.807	800.360	3867.470	578.750
77.253	709.030	3746.500	567.700
77.700	635.650	3630.950	561.000
78.146	590.010	3423.780	562.400
78.593	582.010	3314.070	563.480
79.039	629.780	3334.570	570.060
79.486	625.350	3277.510	580.800
79.932	620.360	3130.860	581.380
80.379	600.450	3039.410	573.520
80.826	591.500	3092.260	560.810
81.272	560.450	3073.660	564.610
81.719	549.630	3067.040	559.300
82.165	529.840	2956.190	567.630
82.612	528.280	2883.330	563.460
83.058	552.510	2860.570	554.120
83.505	593.620	2834.110	553.150
83.951	648.920	2841.600	557.930
84.398	663.200	2856.930	564.080
84.844	652.030	2830.750	554.830
85.291	619.080	2809.990	558.590
85.738	547.240	2747.930	582.020
86.184	524.070	2670.770	573.720
86.631	525.660	2653.710	572.070
87.077	529.600	2672.620	577.900
87.524	531.490	2618.980	572.100
87.970	580.250	2550.420	565.460
88.417	636.490	2534.910	546.340
88.863	648.180	2646.500	564.960
89.310	549.990	2736.350	547.210
89.757	492.500	2709.180	557.670
90.203	477.850	2740.160	558.480
90.650	497.060	2740.580	564.080
91.096	509.310	2858.860	556.290
91.543	503.430	2928.240	560.780
91.989	493.300	3104.540	568.230
92.436	493.420	3212.280	564.010
92.882	512.120	3300.530	552.990
93.329	538.490	3354.840	548.090
93.775	515.390	3448.760	560.940
94.222	492.390	3515.860	556.680
94.669	485.050	3598.990	549.070
95.115	480.740	3498.720	552.080
95.562	486.900	3415.370	558.250
96.008	491.920	3411.130	551.370
96.455	496.490	3407.090	556.190
96.901	487.600	3480.150	562.730
97.348	478.280	3525.560	566.090
97.794	474.520	3671.880	566.390
98.241	468.150	3932.910	565.080
98.688	470.540	4006.660	563.420
99.134	478.690	4146.020	550.960
99.581	473.810	4392.790	563.400
100.027	477.160	4620.570	567.710
100.474	484.020	4802.360	558.210
100.920	473.860	4924.580	565.510
101.367	473.830	5091.190	567.360
101.813	466.930	5243.780	557.970
102.260	466.680	5190.410	549.650
102.706	473.580	5309.490	554.820
103.153	483.440	5614.580	568.330
103.600	480.960	5862.610	568.080
104.046	483.870	6038.160	566.670
104.493	496.320	6264.620	565.750
104.939	501.650	6316.480	560.580
105.386	511.720	6333.560	565.740
105.832	514.950	6626.030	569.700
106.279	518.750	6917.690	572.080
106.725	517.620	7299.520	569.450
107.172	524.660	7423.610	554.840
107.619	508.950	7411.660	553.490
108.065	501.670	7242.610	569.680
108.512	496.530	7302.350	569.520
108.958	482.890	7129.380	574.200
109.405	482.220	6691.310	571.860
109.851	486.360	6567.260	562.910
110.298	477.590	6686.350	570.560
110.744	475.560	6904.720	562.000
111.191	484.840	6969.850	568.550
111.637	486.710	7048.750	569.090
112.084	491.040	7303.630	561.410
112.531	504.400	7481.270	568.620
112.977	496.890	7453.750	557.570
113.424	498.970	7258.320	564.890
113.870	514.430	7114.030	564.130
114.317	519.090	7015.560	564.290
114.763	505.790	7029.500	558.450
115.210	493.060	6906.860	570.440
115.656	490.200	6731.810	561.470
