"experiment","dataset","date","scope","stock","medium","hypoxia","normoxia","position","condition","timestep","frame_experiment_start","frame_experiment_end","frame_hypoxia_start","frame_hypoxia_end","frame_gastrulation","frame_cf_folding_start","frame_gb_extension_start","frame_gb_extension_end","frame_clypeolabrum_start","frame_gb_retraction_start","frame_gb_retraction_end","frame_head_involution_start","frame_head_involution_end","frame_dorsal_closure_start","frame_dorsal_closure_end","frame_gut_partition_start","frame_gut_partition_end","frame_twitching_start","frame_tracheae_start","frame_hatching","time_plucking","bad_embryo","bad_twins","cephalic_furrow","hatched","discard","observations","time_experiment_start","time_experiment_end","time_experiment_total","time_hypoxia_start","time_hypoxia_end","time_hypoxia_total","time_cf_folding_start","time_gb_extension_start","time_gb_extension_end","time_gb_extension_total","time_clypeolabrum_start","time_gb_retraction_start","time_gb_retraction_end","time_gb_retraction_total","time_head_involution_start","time_head_involution_end","time_head_involution_total","time_dorsal_closure_start","time_dorsal_closure_end","time_dorsal_closure_total","time_gut_partition_start","time_gut_partition_end","time_gut_partition_total","time_twitching_start","time_tracheae_start","time_tracheae_to_hatching_total","time_hatching","time_cf_folding_start_norm","time_gb_extension_start_norm","time_gb_extension_end_norm","time_gb_extension_total_norm","time_clypeolabrum_start_norm","time_gb_retraction_start_norm","time_gb_retraction_end_norm","time_gb_retraction_total_norm","time_head_involution_start_norm","time_head_involution_end_norm","time_head_involution_total_norm","time_dorsal_closure_start_norm","time_dorsal_closure_end_norm","time_dorsal_closure_total_norm","time_gut_partition_start_norm","time_gut_partition_end_norm","time_gut_partition_total_norm","time_twitching_start_norm","time_tracheae_start_norm","time_tracheae_to_hatching_total_norm","time_hatching_norm","time_cf_folding_start_pct","time_gb_extension_start_pct","time_gb_extension_end_pct","time_gb_extension_total_pct","time_clypeolabrum_start_pct","time_gb_retraction_start_pct","time_gb_retraction_end_pct","time_gb_retraction_total_pct","time_head_involution_start_pct","time_head_involution_end_pct","time_head_involution_total_pct","time_dorsal_closure_start_pct","time_dorsal_closure_end_pct","time_dorsal_closure_total_pct","time_gut_partition_start_pct","time_gut_partition_end_pct","time_gut_partition_total_pct","time_twitching_start_pct","time_tracheae_start_pct","time_tracheae_to_hatching_total_pct","time_hatching_pct","coord_gb_start_depth","coord_gb_start_width","coord_subject_length","coord_subject_width","coord_gb_start_angle"
"2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos12_RGB.tif","2024-07-18","L2","RGap","H200",10,20.4,12,"evil_twins",3,1,449,-3,34,13,20,NA,NA,NA,NA,145,NA,NA,NA,NA,NA,NA,NA,NA,362,17,FALSE,FALSE,FALSE,TRUE,FALSE,"On the limit of CF/EF?",-0.6,22.08,22.73,-0.8,1.05,1.85,0.35,NA,NA,NA,NA,NA,6.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.73,0.32,NA,NA,NA,NA,NA,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.97405527354766,NA,NA,NA,NA,NA,38.8042865200226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos13_RGB.tif","2024-07-18","L2","RGap","H200",10,20.4,13,"control",3,1,449,-3,34,29,30,NA,NA,NA,NA,147,NA,NA,NA,NA,NA,NA,NA,NA,342,17,FALSE,FALSE,TRUE,TRUE,FALSE,"",-1.4,21.28,22.73,-1.6,0.25,1.85,0.05,NA,NA,NA,NA,NA,6.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.93,0.02,NA,NA,NA,NA,NA,0.0599999999999996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.800000000000001,0.313873195229127,NA,NA,NA,NA,NA,38.7947269303202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos15_RGB.tif","2024-07-18","L2","RGap","H200",10,20.4,15,"evil_twins",3,1,449,-3,34,11,20,NA,NA,NA,NA,141,NA,NA,NA,NA,NA,NA,NA,NA,370,17,FALSE,FALSE,FALSE,TRUE,FALSE,"",-0.5,22.18,22.73,-0.7,1.15,1.85,0.45,NA,NA,NA,NA,NA,6.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.23,0.42,NA,NA,NA,NA,NA,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2.46845858475041,NA,NA,NA,NA,NA,37.1914426769062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos17_RGB.tif","2024-07-18","L2","RGap","H200",10,20.4,17,"control",3,1,449,-3,34,28,29,NA,NA,NA,NA,143,NA,NA,NA,NA,NA,NA,NA,NA,358,17,FALSE,FALSE,TRUE,TRUE,FALSE,"",-1.35,21.33,22.73,-1.55,0.3,1.85,0.05,NA,NA,NA,NA,NA,6.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.78,0.02,NA,NA,NA,NA,NA,-0.0899999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0500000000000007,0.297973778307509,NA,NA,NA,NA,NA,35.9356376638856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos19_RGB.tif","2024-07-18","L2","RGap","H200",10,20.4,19,"evil_twins",3,1,449,-3,34,24,34,NA,NA,NA,NA,144,NA,NA,NA,NA,NA,NA,NA,NA,358,17,FALSE,FALSE,FALSE,TRUE,FALSE,"",-1.15,21.53,22.73,-1.35,0.5,1.85,0.5,NA,NA,NA,NA,NA,6.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.98,0.47,NA,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,2.94464075382803,NA,NA,NA,NA,NA,36.9846878680801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos20_RGB.tif","2024-07-18","L2","RGap","H200",10,20.4,20,"control",3,1,449,-3,34,20,19,NA,NA,NA,NA,136,NA,NA,NA,NA,NA,NA,NA,NA,363,17,FALSE,FALSE,TRUE,TRUE,FALSE,"",-0.95,21.73,22.73,-1.15,0.7,1.85,-0.05,NA,NA,NA,NA,NA,6.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.43,-0.08,NA,NA,NA,NA,NA,-0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.699999999999999,-0.286861732644865,NA,NA,NA,NA,NA,34.8823866896156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos21_RGB.tif","2024-07-18","L2","RGap","H200",10,20.4,21,"evil_twins",3,1,449,-3,34,27,35,NA,NA,NA,NA,151,NA,NA,NA,NA,NA,NA,NA,NA,367,17,FALSE,FALSE,FALSE,TRUE,FALSE,"Hard to say if normal CF or EF because folding occurred during plucking.",-1.3,21.38,22.73,-1.5,0.35,1.85,0.68,NA,NA,NA,NA,NA,6.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.28,0.65,NA,NA,NA,NA,NA,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.550000000000001,3.93518518518519,NA,NA,NA,NA,NA,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos22_RGB.tif","2024-07-18","L2","RGap","H200",10,20.4,22,"control",3,1,449,-3,34,21,21,NA,NA,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,348,17,FALSE,FALSE,TRUE,TRUE,FALSE,"Hard to see the membrane.",-1,21.68,22.73,-1.2,0.65,1.85,0,NA,NA,NA,NA,NA,5.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.63,-0.03,NA,NA,NA,NA,NA,-0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.100000000000001,0,NA,NA,NA,NA,NA,35.9591100420926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
"2024-07-25_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","CROP_2024-07-25_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos1_RGB.tif","2024-07-25","L2","RGap","H200",10,20.5,1,"evil_twins",3,1,445,5,45,34,46,40,67,81,130,170,183,259,NA,NA,223,NA,278,349,407,20,FALSE,FALSE,FALSE,TRUE,FALSE,"Apparently no CF, but during plucking time.",-1.65,20.88,22.58,-1.45,0.55,2,0.93,0.3,1.98,1.68,2.68,5.13,7.13,2,7.78,11.58,3.8,NA,NA,NA,9.78,NA,NA,12.53,16.08,2.9,18.98,0.95,0.04,-0.95,-0.99,0.04,1.44,0.26,-1.18,-0.00999999999999979,0.119999999999999,0.13,NA,NA,NA,0.119999999999999,NA,NA,0.24,0.429999999999998,0.4,0.830000000000002,4.89989462592202,1.58061116965227,10.432033719705,8.85142255005269,14.1201264488936,27.0284510010537,37.5658587987355,10.5374077976818,40.9905163329821,61.0115911485775,20.0210748155954,NA,NA,NA,51.5279241306638,NA,NA,66.0168598524763,84.7207586933614,15.2792413066386,100,14.560219778561,45.2216762183801,497.378125775551,180.80099557248,11.6792171704467
"2024-07-25_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","CROP_2024-07-25_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos5_RGB.tif","2024-07-25","L2","RGap","H200",10,20.5,5,"control",3,1,445,5,45,27,26,31,73,74,92,153,168,248,NA,NA,212,NA,271,331,380,20,FALSE,FALSE,TRUE,TRUE,FALSE,"",-1.3,21.23,22.58,-1.1,0.9,2,-0.05,0.2,2.63,2.43,2.68,3.58,6.63,3.05,7.38,11.38,4,NA,NA,NA,9.58,NA,NA,12.53,15.53,2.45,17.98,-0.03,-0.06,-0.3,-0.24,0.04,-0.11,-0.24,-0.13,-0.41,-0.0800000000000001,0.33,NA,NA,NA,-0.0800000000000001,NA,NA,0.24,-0.120000000000001,-0.0499999999999998,-0.169999999999998,-0.278086763070078,1.11234705228031,14.6273637374861,13.5150166852058,14.9054505005562,19.9110122358176,36.8743047830923,16.9632925472747,41.0456062291435,63.2925472747497,22.2469410456062,NA,NA,NA,53.2814238042269,NA,NA,69.6885428253615,86.3737486095662,13.6262513904338,100,17.0293863659264,45.0444225182208,482.199128991333,175.145653671451,2.10766753717949
