experiment,dataset,date,scope,stock,medium,hypoxia,normoxia,position,condition,timestep,frame_experiment_start,frame_experiment_end,frame_hypoxia_start,frame_hypoxia_end,frame_gastrulation,frame_cf_folding_start,frame_gb_extension_start,frame_gb_extension_end,frame_clypeolabrum_start,frame_gb_retraction_start,frame_gb_retraction_end,frame_head_involution_start,frame_head_involution_end,frame_dorsal_closure_start,frame_dorsal_closure_end,frame_gut_partition_start,frame_gut_partition_end,frame_twitching_start,frame_tracheae_start,frame_hatching,time_plucking,bad_embryo,bad_twins,cephalic_furrow,hatched,discard,observations
2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos16_RGB.tif,2024-07-18,L2,RGap,H200,10,20.4,16,control,3,1,449,-3,34,-7,-7,,,,,119,,,,,,,,,326,17,FALSE,FALSE,TRUE,TRUE,FALSE,Gastrulation and folding frame was estimated.
2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos17_RGB.tif,2024-07-18,L2,RGap,H200,10,20.4,17,control,3,1,449,-3,34,28,29,,,,,143,,,,,,,,,358,17,FALSE,FALSE,TRUE,TRUE,FALSE,
2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos18_RGB.tif,2024-07-18,L2,RGap,H200,10,20.4,18,control,3,1,449,-3,34,-8,-8,,,,,113,,,,,,,,,332,17,FALSE,FALSE,TRUE,TRUE,FALSE,Gastrulation and folding frame was estimated.
2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos19_RGB.tif,2024-07-18,L2,RGap,H200,10,20.4,19,evil_twins,3,1,449,-3,34,24,34,,,,,144,,,,,,,,,358,17,FALSE,FALSE,FALSE,TRUE,FALSE,
2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos20_RGB.tif,2024-07-18,L2,RGap,H200,10,20.4,20,control,3,1,449,-3,34,20,19,,,,,136,,,,,,,,,363,17,FALSE,FALSE,TRUE,TRUE,FALSE,
2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos21_RGB.tif,2024-07-18,L2,RGap,H200,10,20.4,21,evil_twins,3,1,449,-3,34,27,35,,,,,151,,,,,,,,,367,17,FALSE,FALSE,FALSE,TRUE,FALSE,Hard to say if normal CF or EF because folding occurred during plucking.
2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos22_RGB.tif,2024-07-18,L2,RGap,H200,10,20.4,22,control,3,1,449,-3,34,21,21,,,,,135,,,,,,,,,348,17,FALSE,FALSE,TRUE,TRUE,FALSE,Hard to see the membrane.
2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos23_RGB.tif,2024-07-18,L2,RGap,H200,10,20.4,23,evil_twins,3,1,449,-3,34,14,17,,,,,139,,,,,,,,,336,17,FALSE,TRUE,TRUE,TRUE,FALSE,Only a single-sided twin.
2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos24_RGB.tif,2024-07-18,L2,RGap,H200,10,20.4,24,control,3,1,449,-3,34,-2,-2,,,,,126,,,,,,,,,326,17,FALSE,FALSE,TRUE,TRUE,FALSE,Gastrulation frame was estimated.
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos1_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,1,control,3,1,483,10,41,18,18,,,,,134,,,,,,,,,369,25,FALSE,FALSE,TRUE,TRUE,FALSE,
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos2_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,2,evil_twins,3,1,483,10,41,19,25,,,,,143,,,,,,,,,437,25,FALSE,FALSE,FALSE,TRUE,FALSE,
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos3_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,3,control,3,1,483,10,41,18,17,,,,,135,,,,,,,,,405,25,FALSE,FALSE,TRUE,TRUE,FALSE,
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos4_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,4,evil_twins,3,1,483,10,41,23,36,,,,,148,,,,,,,,,404,25,FALSE,FALSE,FALSE,TRUE,FALSE,Hard to see the hatching frame.
2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck,CROP_2024-07-22_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck_1_2_Pos5_RGB.tif,2024-07-22,L2,RGap,H200,10,20.4,5,evil_twins,3,1,483,10,41,12,15,,,,,131,,,,,,,,,411,25,FALSE,FALSE,TRUE,TRUE,FALSE,"Barely forms the CF, on the limit."
