"experiment","date","total_n","total_bad_embryo","total_bad_twins","total_hatched","total_time_hypoxia","total_time_experiment","pct_bad_embryo","pct_hatched","time_experiment_start_control_mean","time_experiment_start_control_sd","time_experiment_start_evil_twins_mean","time_experiment_start_evil_twins_sd","time_experiment_end_control_mean","time_experiment_end_control_sd","time_experiment_end_evil_twins_mean","time_experiment_end_evil_twins_sd","time_hypoxia_start_control_mean","time_hypoxia_start_control_sd","time_hypoxia_start_evil_twins_mean","time_hypoxia_start_evil_twins_sd","time_hypoxia_end_control_mean","time_hypoxia_end_control_sd","time_hypoxia_end_evil_twins_mean","time_hypoxia_end_evil_twins_sd","time_cf_folding_start_control_mean","time_cf_folding_start_control_sd","time_cf_folding_start_evil_twins_mean","time_cf_folding_start_evil_twins_sd","time_gb_extension_start_control_mean","time_gb_extension_start_control_sd","time_gb_extension_start_evil_twins_mean","time_gb_extension_start_evil_twins_sd","time_gb_extension_end_control_mean","time_gb_extension_end_control_sd","time_gb_extension_end_evil_twins_mean","time_gb_extension_end_evil_twins_sd","time_gb_extension_total_control_mean","time_gb_extension_total_control_sd","time_gb_extension_total_evil_twins_mean","time_gb_extension_total_evil_twins_sd","time_clypeolabrum_start_control_mean","time_clypeolabrum_start_control_sd","time_clypeolabrum_start_evil_twins_mean","time_clypeolabrum_start_evil_twins_sd","time_gb_retraction_start_control_mean","time_gb_retraction_start_control_sd","time_gb_retraction_start_evil_twins_mean","time_gb_retraction_start_evil_twins_sd","time_gb_retraction_end_control_mean","time_gb_retraction_end_control_sd","time_gb_retraction_end_evil_twins_mean","time_gb_retraction_end_evil_twins_sd","time_gb_retraction_total_control_mean","time_gb_retraction_total_control_sd","time_gb_retraction_total_evil_twins_mean","time_gb_retraction_total_evil_twins_sd","time_head_involution_start_control_mean","time_head_involution_start_control_sd","time_head_involution_start_evil_twins_mean","time_head_involution_start_evil_twins_sd","time_head_involution_end_control_mean","time_head_involution_end_control_sd","time_head_involution_end_evil_twins_mean","time_head_involution_end_evil_twins_sd","time_head_involution_total_control_mean","time_head_involution_total_control_sd","time_head_involution_total_evil_twins_mean","time_head_involution_total_evil_twins_sd","time_dorsal_closure_start_control_mean","time_dorsal_closure_start_control_sd","time_dorsal_closure_start_evil_twins_mean","time_dorsal_closure_start_evil_twins_sd","time_dorsal_closure_end_control_mean","time_dorsal_closure_end_control_sd","time_dorsal_closure_end_evil_twins_mean","time_dorsal_closure_end_evil_twins_sd","time_dorsal_closure_total_control_mean","time_dorsal_closure_total_control_sd","time_dorsal_closure_total_evil_twins_mean","time_dorsal_closure_total_evil_twins_sd","time_gut_partition_start_control_mean","time_gut_partition_start_control_sd","time_gut_partition_start_evil_twins_mean","time_gut_partition_start_evil_twins_sd","time_gut_partition_end_control_mean","time_gut_partition_end_control_sd","time_gut_partition_end_evil_twins_mean","time_gut_partition_end_evil_twins_sd","time_gut_partition_total_control_mean","time_gut_partition_total_control_sd","time_gut_partition_total_evil_twins_mean","time_gut_partition_total_evil_twins_sd","time_twitching_start_control_mean","time_twitching_start_control_sd","time_twitching_start_evil_twins_mean","time_twitching_start_evil_twins_sd","time_tracheae_start_control_mean","time_tracheae_start_control_sd","time_tracheae_start_evil_twins_mean","time_tracheae_start_evil_twins_sd","time_tracheae_to_hatching_total_control_mean","time_tracheae_to_hatching_total_control_sd","time_tracheae_to_hatching_total_evil_twins_mean","time_tracheae_to_hatching_total_evil_twins_sd","time_hatching_control_mean","time_hatching_control_sd","time_hatching_evil_twins_mean","time_hatching_evil_twins_sd"
"2024-07-18_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","2024-07-18",18,0,0,18,1.85,22.73,0,100,-1.19,0.18,-1.01,0.43,21.49,0.18,21.67,0.43,-1.39,0.18,-1.21,0.43,0.46,0.18,0.64,0.43,0.03,0.06,0.54,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.12,0.08,6.55,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.73,0.43,17.5,0.63
"2024-07-25_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","2024-07-25",17,0,0,17,2,22.58,0,100,-1.11,0.37,-1.45,0.43,21.42,0.37,21.09,0.43,-0.91,0.37,-1.25,0.43,1.09,0.37,0.76,0.43,-0.02,0.03,0.6,0.25,0.26,0.03,0.28,0.05,2.93,0.29,2.82,0.41,2.67,0.26,2.51,0.43,2.64,0.55,2.46,0.51,3.69,0.66,4.34,0.46,6.87,0.21,7.28,0.27,3.18,0.61,2.94,0.54,7.79,0.57,8.1,0.3,11.46,0.42,11.87,0.53,3.67,0.27,3.77,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.66,0.31,9.99,0.22,NA,NA,NA,NA,NA,NA,NA,NA,12.29,0.57,12.6,0.48,15.65,0.23,16.09,0.22,2.5,0.08,2.92,0.6,18.15,0.21,19,0.67
"2024-07-29_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","2024-07-29",22,0,0,22,2.3,26.53,0,100,-1.07,0.23,-1.14,0.39,25.41,0.23,25.34,0.39,-1.17,0.23,-1.24,0.39,1.13,0.23,1.06,0.39,-0.02,0.06,0.62,0.23,0.2,0.03,0.22,0.05,3.27,0.43,3.7,0.6,3.07,0.41,3.48,0.59,3.29,0.36,3.49,0.51,4.59,0.35,5.11,0.44,7.22,0.24,8.07,0.53,2.62,0.24,2.96,0.83,7.79,0.35,8.39,0.33,12.02,0.31,12.62,0.34,4.22,0.33,4.23,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.13,0.24,10.68,0.16,NA,NA,NA,NA,NA,NA,NA,NA,12.7,0.52,13.18,0.41,16.21,0.36,16.84,0.21,2.81,0.35,3.6,0.77,19.02,0.46,20.44,0.87
"2024-08-01_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","2024-08-01",20,0,0,20,2.45,24.8,0,100,-0.69,0.24,-0.85,0.21,24.06,0.24,23.9,0.21,-0.84,0.24,-1,0.21,1.61,0.24,1.45,0.21,-0.01,0.04,0.57,0.19,0.26,0.05,0.27,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.13,0.22,7.7,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.37,0.27,19.43,1.17
"2024-08-05_L2_RGap_H200_10pct_oxygen_t3min_evil_twins_pluck","2024-08-05",22,0,0,22,2.6,26.02,0,100,-1.08,0.39,-1.33,0.22,24.89,0.39,24.64,0.22,-0.98,0.39,-1.23,0.22,1.62,0.39,1.37,0.22,-0.01,0.07,0.72,0.25,0.28,0.05,0.32,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.92,0.2,8.71,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.09,0.7,20.87,0.57
