 	Label	Area	StdDev	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	RawIntDen	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
19	eve-Gap1_t60s_z3_E12_CARE_s19_0x0_w1877_h1008_flipn_f6-75.1.roi:1	93933.000	206.316	518.992	367.118	517.769	376.959	1768.133	379.000	82.000	291.000	620.000	642.824	186.053	72.467	0.378	644.771	85513553.000	852	1.385	2.164	85513553.000	447	702	74.067	206.653	3.455	0.289	0.884
20	eve-Gap1_t60s_z3_E12_CARE_s19_0x0_w1877_h1008_flipn_f6-75.2.roi:1	17080.000	63.617	797.050	152.733	797.361	155.074	590.825	733.000	58.000	137.000	192.000	182.532	119.140	88.989	0.615	193.373	13940251.000	799	1.534	2.923	13940251.000	794	250	83.169	135.409	1.532	0.653	0.893
21	eve-Gap1_t60s_z3_E16_CARE_s15_0x0_w1799_h1052_flipn_f41-110.1.roi:1	148955.000	172.186	620.424	414.799	619.380	425.405	2213.947	489.000	56.000	283.000	796.000	843.172	224.931	81.941	0.382	818.827	136875817.000	887	0.893	0.750	136875817.000	498	846	72.517	254.254	3.749	0.267	0.899
22	eve-Gap1_t60s_z3_E2_CARE_s22_0x0_w1797_h1014_flipn_f6-75.1.roi:1	14446.000	132.632	397.725	290.306	397.170	291.489	528.985	334.000	196.000	126.000	184.000	185.501	99.154	64.467	0.649	193.536	13030619.000	874	0.927	0.699	13030619.000	363	380	71.940	104.648	1.871	0.535	0.927
23	eve-Gap1_t60s_z3_E2_CARE_s22_0x0_w1797_h1014_flipn_f6-75.2.roi:1	15868.000	33.407	603.153	88.571	603.001	89.813	571.512	533.000	20.000	142.000	163.000	154.621	130.666	76.737	0.610	172.351	11339783.000	707	1.000	0.775	11339783.000	555	20	108.961	138.098	1.183	0.845	0.903
24	eve-Gap1_t60s_z3_E4_CARE_s20_0x334_w1850_h1040_fliph_f15-84.1.roi:1	125951.000	144.353	635.356	363.827	634.050	374.444	2152.265	508.000	28.000	278.000	797.000	796.067	201.448	79.416	0.342	811.976	107049573.000	815	1.108	1.398	107049573.000	547	825	77.265	243.182	3.952	0.253	0.869
25	eve-Gap1_t60s_z3_E5_CARE_s24_0x172_w1794_h1070_fliph_f60-129.1.roi:1	134860.000	184.467	604.789	450.490	603.193	459.571	2152.674	471.000	86.000	281.000	815.000	811.625	211.562	80.041	0.366	817.611	129538346.000	908	1.222	1.757	129538346.000	515	901	77.426	233.761	3.836	0.261	0.887
26	eve-Gap1_t60s_z3_E9_CARE_s18_0x96_w1801_h942_flipn_f16-85.1.roi:1	132032.000	156.778	707.629	379.094	706.897	387.514	2181.076	587.000	34.000	264.000	806.000	810.547	207.401	81.937	0.349	809.209	114117797.000	817	1.382	2.263	114117797.000	636	840	84.895	232.574	3.908	0.256	0.884
27	eve-Gap_1_E13_CARE_s14_0x0_w1867_h1068_fliph_f11-80.1.roi:1	52938.000	174.636	622.923	281.439	624.519	290.413	1159.207	535.000	80.000	185.000	432.000	403.819	166.913	95.140	0.495	434.370	49058838.000	888	0.920	0.584	49058838.000	581	81	97.141	184.532	2.419	0.413	0.907
28	eve-Gap_1_t45s_z3_E11_CARE_s14_0x0_w1813_h992_flipn_f48-117.1.roi:1	78820.000	207.401	301.420	407.109	304.531	403.830	1406.403	168.000	152.000	262.000	501.000	497.127	201.873	75.635	0.501	514.417	71002725.000	867	0.848	0.826	71002725.000	223	653	74.208	210.776	2.463	0.406	0.892
29	eve-Gap_1_t45s_z3_E11_CARE_s14_0x0_w1813_h992_flipn_f48-117.2.roi:1	52348.000	136.610	667.161	166.875	668.215	174.362	1090.881	565.000	3.000	206.000	371.000	347.235	191.949	90.487	0.553	371.775	53015949.000	985	1.142	1.826	53015949.000	644	374	86.299	205.199	1.809	0.553	0.916
30	eve-Gap_1_t45s_z3_E1_CARE_s21_0x0_w1845_h974_flipn_f51-120.1.roi:1	113951.000	182.281	611.015	372.477	608.973	383.242	1984.726	488.000	29.000	253.000	769.000	762.534	190.269	79.620	0.364	779.664	105667344.000	870	1.335	2.075	105667344.000	520	798	77.105	206.208	4.008	0.250	0.888
31	eve-Gap_1_t45s_z3_E4_CARE_s15_0x398_w1798_h960_fliph_f76-145.1.roi:1	123619.000	169.361	603.292	393.350	602.333	402.493	2104.265	472.000	27.000	255.000	780.000	831.684	189.251	81.405	0.351	794.306	112766261.000	865	1.268	1.840	112766261.000	525	807	76.086	213.734	4.395	0.228	0.856
32	prd-Gap_1_t60s_E10_CARE_s24_0x224_w1706_h998_flipv_f43-112.1.roi:1	97844.000	44.541	513.004	444.367	513.555	445.485	1663.707	388.000	167.000	256.000	624.000	588.034	211.857	88.802	0.444	624.461	38926932.000	392	0.811	1.075	38926932.000	483	791	87.797	239.094	2.776	0.360	0.897
33	prd-Gap_1_t60s_E11_CARE_s24_0x0_w1732_h1000_flipn_f30-99.1.roi:1	31499.000	41.873	241.931	567.862	242.148	567.938	1035.994	177.000	360.000	133.000	447.000	453.730	88.391	81.959	0.369	455.580	11389967.000	353	0.898	0.600	11389967.000	195	807	78.863	107.689	5.133	0.195	0.789
34	prd-Gap_1_t60s_E11_CARE_s24_0x0_w1732_h1000_flipn_f30-99.2.roi:1	48758.000	44.034	527.186	364.424	527.215	365.449	1416.670	458.000	132.000	144.000	559.000	522.361	118.846	86.319	0.305	560.359	19116246.000	383	1.131	1.737	19116246.000	474	691	86.009	136.058	4.395	0.228	0.814
35	prd-Gap_1_t60s_E12_CARE_s20_0x0_w1709_h978_fliph_f47-116.1.roi:1	15601.000	29.156	555.591	259.586	555.308	261.128	601.311	500.000	175.000	122.000	201.000	189.355	104.903	81.419	0.542	202.237	6339075.000	398	1.903	5.678	6339075.000	546	376	81.469	115.410	1.805	0.554	0.895
36	prd-Gap_1_t60s_E15_CARE_s20_0x382_w1618_h892_fliph_f48-117.1.roi:1	84742.000	46.033	551.697	445.997	552.516	441.158	1712.334	457.000	151.000	208.000	664.000	640.143	168.551	82.634	0.363	670.820	34201434.000	397	0.882	1.026	34201434.000	485	815	79.695	190.612	3.798	0.263	0.901
37	prd-Gap_1_t60s_E16_CARE_s24_0x26_w1678_h964_flipn_f43-112.1.roi:1	22335.000	33.585	526.349	266.145	526.383	268.614	740.891	455.000	148.000	141.000	271.000	255.123	111.467	90.614	0.511	271.184	8696325.000	379	1.963	5.562	8696325.000	510	419	87.887	134.508	2.289	0.437	0.879
38	prd-Gap_1_t60s_E1_CARE_s20_0x0_w1795_h1026_flipn_f54-123.1.roi:1	141081.000	37.611	636.797	466.749	638.366	464.459	2148.265	510.000	116.000	272.000	806.000	810.505	221.627	82.053	0.384	822.689	53607839.000	372	0.961	0.875	53607839.000	529	918	76.217	240.905	3.657	0.273	0.901
