"Stock","Genotype","Embryos","Folds.count.mean","Folds.count.sd","AreaCorr.sum.mean","AreaCorr.sum.sd"
"wt","wildtype",16,1.875,0.718795288428261,11972.515124,1461.13505200979
"btd","heterozygote",6,1,0,10338.2336158333,1928.34767776306
"btd","homozygote",5,2.4,0.547722557505166,5552.5091758,1750.03052870544
"eve","heterozygote",7,1,0,9711.03387571428,1126.13088072807
"eve","homozygote",4,1.75,0.5,5605.084901,3080.20822856984
"prd","heterozygote",9,1.77777777777778,0.833333333333333,8243.71482722222,2183.32539255349
"prd","homozygote",5,2,0.707106781186548,3769.3456962,2304.20282985722
