File "ROI Area"
rgap_1b_z3_t60s_E6_s19_0x50_w1683_h900_fliph_f47-116.2.roi 10218.658270999995
eve-Gap_1_t45s_z3_E11_CARE_s14_0x0_w1813_h992_flipn_f48-117.2.roi 3917.272210000001
eve-Gap_1_t45s_z3_E11_CARE_s14_0x0_w1813_h992_flipn_f48-117.1.roi 4604.259001000002
eve-Gap_1_E13_CARE_s14_0x0_w1867_h1068_fliph_f11-80.1.roi 3881.4173470000005
prd-Gap_1_t60s_E12_CARE_s20_0x0_w1709_h978_fliph_f47-116.1.roi 1240.9261420000003
prd-Gap_1_t60s_E15_CARE_s20_0x382_w1618_h892_fliph_f48-117.1.roi 6203.382821000003
eve-Gap_1_t45s_z3_E1_CARE_s21_0x0_w1845_h974_flipn_f51-120.1.roi 8008.264972000001
prd-Gap_1_t60s_E7_CARE_s21_0x0_w1653_h1016_fliph_f17-86.1.roi 9125.699846
rgap_1b_z3_t60s_E12_s20_0x40_w1809_h900_fliph_f37-106.1.roi 10068.930873000003
eve-Gap1_t60s_z3_E11_CARE_s18_0x0_w1824_h1040_fliph_f26-95.1.roi 11056.939761999993
prd-Gap_1_t60s_E8_CARE_s19_0x0_w1705_h1012_flipn_f53-122.2.roi 8634.936394999999
prd-Gap_1_t60s_E8_CARE_s19_0x0_w1705_h1012_flipn_f53-122.1.roi 548.9130960000002
btd-hisgap1_E7_CARE_s27_0x0_w1698_h918_fliph_f34-103.1.roi 11080.868392999993
rgap_1b_z3_t60s_E3_s20_0x50_w1737_h890_fliph_f23-92.2.roi 10603.753803000005
rgap_1b_z3_t60s_E3_s20_0x50_w1737_h890_fliph_f23-92.3.roi 1193.040993
rgap_1b_z3_t60s_E3_s20_0x50_w1737_h890_fliph_f23-92.1.roi 363.09769200000005
rgap_1b_z3_t60s_E7_s20_0x50_w1745_h940_fliph_f38-107.2.roi 11565.035142999997
rgap_1b_z3_t60s_E7_s20_0x50_w1745_h940_fliph_f38-107.1.roi 273.78337
eve-Gap1_t60s_z3_E16_CARE_s15_0x0_w1799_h1052_flipn_f41-110.1.roi 11013.667917999985
rgap_1b_z3_t60s_E14_s20_0x30_w1733_h980_flipn_f34-103.1.roi 296.14773699999995
rgap_1b_z3_t60s_E14_s20_0x30_w1733_h980_flipn_f34-103.2.roi 11478.033234999999
rgap_1b_z3_t60s_E16_s18_0x0_w1714_h950_flipn_f25-94.2.roi 11869.307345999992
rgap_1b_z3_t60s_E16_s18_0x0_w1714_h950_flipn_f25-94.1.roi 2031.9095820000007
rgap_1b_z3_t60s_E16_s18_0x0_w1714_h950_flipn_f25-94.3.roi 423.38253699999996
prd-Gap_1_t60s_E2_CARE_s19_0x0_w1695_h1010_fliph_f47-116.2.roi 4303.297864000003
prd-Gap_1_t60s_E2_CARE_s19_0x0_w1695_h1010_fliph_f47-116.1.roi 773.2292359999999
btd-gap_z3_t55s_E8_CARE_s22_0x0_w1762_h966_flipn_f32-101.2.roi 3888.238024999999
btd-gap_z3_t55s_E8_CARE_s22_0x0_w1762_h966_flipn_f32-101.1.roi 3070.8724939999997
rgap_1b_z3_t60s_E13_s22_0x40_w1765_h900_flipn_f32-101.1.roi 11076.731704999991
