"Label","Embryo","Stock","Genotype","View","Side","Fold","Position","Type","Area","StdDev","X","Y","XM","YM","Perim.","BX","BY","Width","Height","Major","Minor","Angle","Circ.","Feret","IntDen","Median","Skew","Kurt","RawIntDen","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity","AreaCorr","E"
"prd-Gap_1_t60s_E1_CARE_s20_0x0_w1795_h1026_flipn_f54-123.1.roi","prd-Gap_1_t60s_E1","prd","heterozygote","lateral","left",TRUE,"mid","CF",141081,37.611,636.797,466.749,638.366,464.459,2148.265,510,116,272,806,810.505,221.627,82.053,0.384,822.689,53607839,372,0.961,0.875,53607839,529,918,76.217,240.905,3.657,0.273,0.901,11177.641336,1
"prd-Gap_1_t60s_E2_CARE_s19_0x0_w1695_h1010_fliph_f47-116.2.roi","prd-Gap_1_t60s_E2","prd","heterozygote","lateral","left",TRUE,"mid","CF",54406,37.287,563.543,359.122,563.434,362.67,1316.788,477,166,195,482,459.914,150.619,79.519,0.394,494.291,21854969,393,1.18,1.876,21854969,501,648,76.189,185.292,3.053,0.327,0.858,4303.297864,2
"prd-Gap_1_t60s_E3_CARE_s22_0x0_w1544_h998_fliph_f49-118.2.roi","prd-Gap_1_t60s_E3","prd","heterozygote","lateral","left",TRUE,"mid","CF",75500,40.868,490.631,407.822,490.675,408.315,1533.381,396,143,200,598,591.717,162.459,83.871,0.404,605.036,29913556,388,1.038,1.629,29913556,429,741,81.254,187.4,3.642,0.275,0.859,6098.806887,3
"prd-Gap_1_t60s_E5_CARE_s22_0x0_w1800_h1032_fliph_f50-119.2.roi","prd-Gap_1_t60s_E5","prd","heterozygote","lateral","left",TRUE,"mid","CF",128277,36.654,593.866,427.537,594.566,429.281,2077.68,473,55,254,832,817.245,199.851,83.104,0.373,836.013,47479869,360,1.278,2.096,47479869,519,887,81.124,226.672,4.089,0.245,0.855,10105.030859,5
"prd-Gap_1_t60s_E6_CARE_s21_0x0_w1720_h988_fliph_f41-110.1.roi","prd-Gap_1_t60s_E6","prd","heterozygote","lateral","left",TRUE,"mid","CF",118040,47.284,537.177,400.466,537.673,407.183,1873.815,437,67,218,749,740.261,203.027,86.484,0.422,750.351,50325226,415,0.911,0.501,50325226,488,816,86.562,217.337,3.646,0.274,0.908,9290.721462,6
"prd-Gap_1_t60s_E7_CARE_s21_0x0_w1653_h1016_fliph_f17-86.1.roi","prd-Gap_1_t60s_E7","prd","heterozygote","lateral","left",TRUE,"mid","CF",118011,43.091,524.477,406.091,524.476,408.447,1876.886,415,100,242,733,713.565,210.571,84.638,0.421,738.241,50199708,415,0.996,0.764,50199708,468,833,81.431,241.74,3.389,0.295,0.892,9125.699846,7
"prd-Gap_1_t60s_E8_CARE_s19_0x0_w1705_h1012_flipn_f53-122.2.roi","prd-Gap_1_t60s_E8","prd","heterozygote","lateral","left",TRUE,"mid","CF",110970,38.921,573.704,396.1,573.103,402.143,2123.395,468,73,230,812,766.593,184.311,82.572,0.309,821.937,42621063,374,1.268,1.839,42621063,506,885,78.348,216.264,4.159,0.24,0.846,8634.936395,8
"prd-Gap_1_t60s_E11_CARE_s24_0x0_w1732_h1000_flipn_f30-99.2.roi","prd-Gap_1_t60s_E11","prd","heterozygote","lateral","left",TRUE,"mid","CF",48758,44.034,527.186,364.424,527.215,365.449,1416.67,458,132,144,559,522.361,118.846,86.319,0.305,560.359,19116246,383,1.131,1.737,19116246,474,691,86.009,136.058,4.395,0.228,0.814,3601.871234,11
"prd-Gap_1_t60s_E15_CARE_s20_0x382_w1618_h892_fliph_f48-117.1.roi","prd-Gap_1_t60s_E15","prd","heterozygote","lateral","left",TRUE,"mid","CF",84742,46.033,551.697,445.997,552.516,441.158,1712.334,457,151,208,664,640.143,168.551,82.634,0.363,670.82,34201434,397,0.882,1.026,34201434,485,815,79.695,190.612,3.798,0.263,0.901,6203.382821,15
"prd-Gap_1_t60s_E2_CARE_s19_0x0_w1695_h1010_fliph_f47-116.3.roi","prd-Gap_1_t60s_E2","prd","heterozygote","lateral","left",TRUE,"post","EF",3547,11.437,746.959,263.651,746.981,263.908,310.877,709,226,78,95,81.359,55.509,118.774,0.461,101.951,1392102,391,0.909,1.147,1392102,720,226,111.28,71.118,1.466,0.682,0.753,302.901651,2
"prd-Gap_1_t60s_E11_CARE_s24_0x0_w1732_h1000_flipn_f30-99.3.roi","prd-Gap_1_t60s_E11","prd","heterozygote","lateral","left",TRUE,"post","EF",8018,30.39,735.152,274.416,735.038,274.442,414.517,696,210,80,145,143.936,70.926,81.565,0.586,147.872,3204946,395,1.417,4.134,3204946,732,355,78.69,76.156,2.029,0.493,0.885,653.837716,11
"prd-Gap_1_t60s_E4_CARE_s19_0x0_w1743_h984_flipn_f46-115.1.roi","prd-Gap_1_t60s_E4","prd","homozygote","lateral","left",TRUE,"ant","EF",12364,52.854,254.601,463.12,254.817,464.013,592.24,208,349,102,221,202.52,77.732,82.977,0.443,223.164,4717267,371,0.826,0.252,4717267,238,570,82.015,91.782,2.605,0.384,0.81,808.725311,4
"prd-Gap_1_t60s_E9_CARE_s24_0x0_w1756_h1014_flipn_f55-124.1.roi","prd-Gap_1_t60s_E9","prd","homozygote","lateral","left",TRUE,"ant","EF",31822,40.208,213.218,603.514,213.8,603.861,845.619,137,452,163,312,294.375,137.637,85.268,0.559,312.231,10396591,319,0.996,1.052,10396591,214,764,87.797,153.167,2.139,0.468,0.898,1774.152445,9
"prd-Gap_1_t60s_E10_CARE_s24_0x224_w1706_h998_flipv_f43-112.1.roi","prd-Gap_1_t60s_E10","prd","homozygote","lateral","left",TRUE,"ant","EF",4039,26.295,230.782,836.545,230.586,835.601,377.446,206,753,54,161,138.993,36.999,95.077,0.356,163.771,1451528,354,1.603,4.727,1451528,226,753,100.555,52.085,3.757,0.266,0.709,258.169505,10
"prd-Gap_1_t60s_E12_CARE_s20_0x0_w1709_h978_fliph_f47-116.1.roi","prd-Gap_1_t60s_E12","prd","homozygote","lateral","left",TRUE,"ant","EF",9866,40.662,271.324,343.417,271.658,341.418,679.453,226,240,86,267,232.235,54.091,86.534,0.269,267.367,3745171,375,0.625,0.38,3745171,262,507,86.998,80.104,4.293,0.233,0.688,644.278127,12
"prd-Gap_1_t60s_E4_CARE_s19_0x0_w1743_h984_flipn_f46-115.2.roi","prd-Gap_1_t60s_E4","prd","homozygote","lateral","left",TRUE,"mid","EF",42148,38.5,558.332,266.665,558.931,269.686,1109.651,476,98,171,407,387.37,138.536,84.262,0.43,409.275,17751348,414,0.907,0.971,17751348,510,505,81.712,168.207,2.796,0.358,0.838,3325.148275,4
"prd-Gap_1_t60s_E9_CARE_s24_0x0_w1756_h1014_flipn_f55-124.2.roi","prd-Gap_1_t60s_E9","prd","homozygote","lateral","left",TRUE,"mid","EF",20833,25.857,491.275,262.967,491.212,264.759,763.193,436,135,109,268,283.15,93.68,87.734,0.449,276.024,7373941,347,1.323,2.224,7373941,464,403,75.309,108.042,3.023,0.331,0.856,1544.18488,9
"prd-Gap_1_t60s_E10_CARE_s24_0x224_w1706_h998_flipv_f43-112.2.roi","prd-Gap_1_t60s_E10","prd","homozygote","lateral","left",TRUE,"mid","CF",97844,44.541,513.004,444.367,513.555,445.485,1663.707,388,167,256,624,588.034,211.857,88.802,0.444,624.461,38926932,392,0.811,1.075,38926932,483,791,87.797,239.094,2.776,0.36,0.897,7177.064118,10
"prd-Gap_1_t60s_E12_CARE_s20_0x0_w1709_h978_fliph_f47-116.2.roi","prd-Gap_1_t60s_E12","prd","homozygote","lateral","left",TRUE,"mid","EF",15601,29.156,555.591,259.586,555.308,261.128,601.311,500,175,122,201,189.355,104.903,81.419,0.542,202.237,6339075,398,1.903,5.678,6339075,546,376,81.469,115.41,1.805,0.554,0.895,1240.926142,12
"prd-Gap_1_t60s_E16_CARE_s24_0x26_w1678_h964_flipn_f43-112.1.roi","prd-Gap_1_t60s_E16","prd","homozygote","lateral","left",TRUE,"mid","EF",22335,33.585,526.349,266.145,526.383,268.614,740.891,455,148,141,271,255.123,111.467,90.614,0.511,271.184,8696325,379,1.963,5.562,8696325,510,419,87.887,134.508,2.289,0.437,0.879,1744.223193,16
"prd-Gap_1_t60s_E9_CARE_s24_0x0_w1756_h1014_flipn_f55-124.3.roi","prd-Gap_1_t60s_E9","prd","homozygote","lateral","left",TRUE,"post","EF",3947,18.455,736.59,245.054,736.739,245.463,296.635,715,184,49,121,118.218,42.51,93.721,0.564,121.334,1443444,364,0.673,0.196,1443444,727,184,94.254,47.52,2.781,0.36,0.91,329.856485,9
