"Label","Embryo","Stock","Genotype","View","Side","Fold","Position","Type","Area","StdDev","X","Y","XM","YM","Perim.","BX","BY","Width","Height","Major","Minor","Angle","Circ.","Feret","IntDen","Median","Skew","Kurt","RawIntDen","FeretX","FeretY","FeretAngle","MinFeret","AR","Round","Solidity","AreaCorr","E"
"rgap_1b_z3_t60s_E4_s18_0x40_w1737_h970_flipn_f38-107.2.roi","rgap_1b_z3_t60s_E4","wt","wildtype","lateral","left",TRUE,"mid","CF",173486,618.546,548.702,432.511,547.682,439.109,2252.758,387,47,330,819,824.731,267.832,80.099,0.43,832.623,521816750,2859,1.15,1.42,521816750,443,866,79.621,297.562,3.079,0.325,0.903,13406.005221,4
"rgap_1b_z3_t60s_E5_s20_0x55_w1740_h905_fliph_f47-116.2.roi","rgap_1b_z3_t60s_E5","wt","wildtype","lateral","left",TRUE,"mid","CF",125857,730.84,524.772,361.196,524.062,372.216,2058.792,390,17,281,782,779.748,205.51,80.569,0.373,791.09,388478622,2888,1.191,1.414,388478622,441,799,80.395,234.442,3.794,0.264,0.868,9449.551688,5
"rgap_1b_z3_t60s_E6_s19_0x50_w1683_h900_fliph_f47-116.2.roi","rgap_1b_z3_t60s_E6","wt","wildtype","lateral","left",TRUE,"mid","CF",136536,689.516,522.69,471.065,523.625,466.112,1966.927,397,146,274,730,716.774,242.535,84.092,0.443,736.549,413125804,2843,1.223,1.748,413125804,454,876,82.354,267.204,2.955,0.338,0.912,10218.658271,6
"rgap_1b_z3_t60s_E7_s20_0x50_w1745_h940_fliph_f38-107.2.roi","rgap_1b_z3_t60s_E7","wt","wildtype","lateral","left",TRUE,"mid","CF",155409,615.91,529.649,345.289,529.318,354.658,2160.976,392,22,320,783,758.629,260.83,80.593,0.418,793.641,438138966,2655,1.283,1.919,438138966,442,805,77.557,302.65,2.909,0.344,0.898,11565.035143,7
"rgap_1b_z3_t60s_E8_s20_0x100_w1765_h990_fliph_f32-101.2.roi","rgap_1b_z3_t60s_E8","wt","wildtype","lateral","left",TRUE,"mid","CF",157001,637.23,544.241,427.78,544.578,428.796,2119.118,406,52,289,820,839.944,237.992,82.053,0.439,838.258,460089971,2757,1.308,1.894,460089971,446,872,78.02,259.908,3.529,0.283,0.912,11654.812907,8
"rgap_1b_z3_t60s_E9_s20_0x0_w1774_h1000_flipn_f44-113.1.roi","rgap_1b_z3_t60s_E9","wt","wildtype","lateral","left",TRUE,"mid","CF",179738,631.351,535.889,441.441,535.234,446.747,2276.314,384,52,323,845,826.818,276.783,82.979,0.436,853.905,498051113,2591,1.434,2.257,498051113,445,897,81.718,310.088,2.987,0.335,0.897,14021.809492,9
"rgap_1b_z3_t60s_E11_s20_0x80_w1738_h950_fliph_f38-107.2.roi","rgap_1b_z3_t60s_E11","wt","wildtype","lateral","left",TRUE,"mid","CF",171006,664.654,551.7,398.992,551.692,400.797,2339.728,414,24,298,880,875.453,248.707,82.003,0.393,890.505,505297982,2770,1.349,2.008,505297982,465,904,77.681,286.81,3.52,0.284,0.894,12909.669195,11
"rgap_1b_z3_t60s_E12_s20_0x40_w1809_h900_fliph_f37-106.1.roi","rgap_1b_z3_t60s_E12","wt","wildtype","lateral","left",TRUE,"mid","CF",131532,695.814,578.742,514.658,579.939,507.726,1903.17,421,152,302,706,725.595,230.806,80.964,0.456,717.689,402864972,2870,1.17,1.241,402864972,478,858,79.645,237.964,3.144,0.318,0.907,10068.930873,12
"rgap_1b_z3_t60s_E13_s22_0x40_w1765_h900_flipn_f32-101.1.roi","rgap_1b_z3_t60s_E13","wt","wildtype","lateral","left",TRUE,"mid","CF",147148,717.08,534.016,410.708,534.819,411.228,2000.466,387,89,318,758,723.389,258.996,81.716,0.462,770.388,443468128,2828,1.24,1.791,443468128,463,847,79.303,290.001,2.793,0.358,0.9,11076.731705,13
"rgap_1b_z3_t60s_E14_s20_0x30_w1733_h980_flipn_f34-103.2.roi","rgap_1b_z3_t60s_E14","wt","wildtype","lateral","left",TRUE,"mid","CF",142959,723.033,558.042,547.553,560.138,534.421,1986.751,412,217,303,707,733.332,248.211,80.117,0.455,720.684,423740522,2790,1.132,1.496,423740522,464,924,71.64,271.42,2.954,0.338,0.905,11478.033235,14
